Year,Jurisdiction,Type_of_professional,Supply_number_of_nurses,Supply_inflow,Supply_outflow,Supply_renewal,Supply_inflow_age_younger_than_35,Supply_inflow_age 35_to_54,Supply_inflow_age_55_and_older,Supply_inflow_age_not_stated,Supply_outflow_age_younger_than_35,Supply_outflow_age_ 35_to_ 54,Supply_outflow_age_55_and _older,Supply_outflow_age_not_stated,Supply_renewal_age_younger_than_35,Supply_renewal_age_35_to_54,Supply_renewal_age_55_and_older,Supply_renewal_age_not_stated,Supply_employment_status_employed_in_profession,Supply_employed_and_seeking_employment,Supply__employed_other_profession_not_seeking_employment,Supply_not_employed_and_seeking_employment,Supply_not_employed_not _seeking _employment_in _profession,Supply_employment_status_not_stated,Supply_sex_female,Supply_sex_male,Supply_sex_not_stated,Supply_average_age,Supply_age_younger_than_30,Supply_age_30_to_39,Supply_age_40_to_ 49,Supply_age_50_to_ 59,Supply_age_60_to_64,Supply_age_65_to_ 69,Supply_age_70_and_older,Supply_age _not_stated,Supply_location_of_graduation_Canada,Supply_location_of_graduation_international,Supply_location_of_graduation_not_stated,Supply_years_since_graduation_0_to_10,Supply_years_since_graduation_11_to_20,Supply_years_since_graduation_21_to_30,Supply_years_since_graduation_31_and_more,Supply_years_since_graduation_not_stated,Supply_employed_in_other_renewal_age_not_stated
2013,Newfoundland and Labrador,Nurse practitioners,124,11,4,113,1,1,1,0,1,2,1,0,5,89,19,19,124,0,0,0,0,0,106,18,0,46.9,0,20,62,33,7,0,2,0,124,0,0,6,43,48,27,0,0
2013,Prince Edward Island,Nurse practitioners,6,3,1,3,2,2,1,0,1,0,0,0,0,3,0,0,5,0,0,0,0,1,6,0,0,41.5,1,1,3,1,0,0,0,0,0,0,0,3,1,2,0,0,0
2013,Nova Scotia,Nurse practitioners,138,9,7,129,1,1,2,0,0,2,5,0,9,98,22,22,132,0,0,0,0,6,133,5,0,46.9,1,25,59,43,8,2,0,0,134,4,0,13,39,57,29,0,0
2013,New Brunswick,Nurse practitioners,107,8,7,99,6,6,0,0,2,4,1,0,21,65,13,13,102,0,0,1,4,0,104,3,0,42.7,4,42,35,22,3,0,1,0,103,4,0,23,36,35,13,0,0
2013,Quebec,Nurse practitioners,202,54,5,148,37,37,0,0,1,4,0,0,58,85,5,5,201,,0,0,0,1,183,19,0,36.8,18,127,43,13,1,0,0,0,200,2,0,82,87,24,9,0,0
2013,Ontario,Nurse practitioners,2158,251,81,1907,124,124,11,0,10,41,30,0,263,1214,430,430,2049,1,4,26,15,63,2039,119,0,45.5,69,602,668,660,130,23,6,0,2031,127,0,432,589,687,450,0,1
2013,Manitoba,Nurse practitioners,107,13,3,94,6,6,1,0,1,2,0,0,17,67,10,10,104,0,0,0,0,3,98,6,0,42.6,3,44,34,21,3,2,0,0,107,0,0,24,40,30,13,0,0
2013,Saskatchewan,Nurse practitioners,158,26,8,132,9,9,2,0,2,4,2,0,9,75,48,48,157,0,0,1,0,0,148,10,0,48.4,6,24,45,64,17,2,0,0,151,7,0,22,35,56,45,0,0
2013,Alberta,Nurse practitioners,335,40,9,295,19,19,3,0,3,2,4,0,32,211,52,52,331,0,0,0,0,4,311,24,0,45,7,94,125,88,15,6,0,0,324,11,0,48,126,100,61,0,0
2013,British Columbia,Nurse practitioners,253,39,15,214,13,13,3,0,7,6,2,0,30,146,38,38,206,0,1,0,4,42,241,12,0,44,10,88,75,66,11,2,1,0,236,17,0,63,85,67,37,1,0
