Year,Jurisdiction,Type of professional,Workforce_ number_of_nurses,Workforce_ employed_full time,Workforce_ employed_part_time,Workforce_ employed _casual,Workforce__employed_status_unknown,Workforce_place of work__hospital,Workforce_ place of work_ community health,Workforce_ place of work_ nursing home/LTC,Workforce_ place of work_ other,Workforce_ place of work_ not stated,Workforce_ position_ staff nurse,Workforce_ position_ manager,Workforce_ position_ other,Workforce_ position_ not stated,Workforce_ area of responsibility_ direct care,Workforce_ area of responsibility_ administration,Workforce_ area of responsibility_ education,Workforce_ area of responsibility_ research,Workforce_ area of responsibility_ not stated,Workforce_ geography_ urban,Workforce_ geography_ rural/remote,Workforce_ geography_ not stated
2013,Newfoundland and Labrador,Nurse practitioners,124,110,7,7,0,56,30,9,29,0,3,9,112,0,111,6,6,1,0,74,50,0
2013,Prince Edward Island,Nurse practitioners,5,5,0,0,0,0,4,0,1,0,0,0,5,0,4,0,1,0,0,4,1,0
2013,Nova Scotia,Nurse practitioners,132,112,12,8,0,57,60,3,12,0,8,0,124,0,125,1,5,1,0,86,45,1
2013,New Brunswick,Nurse practitioners,102,83,16,3,0,33,52,5,12,0,16,0,86,0,98,0,4,0,0,63,39,0
2013,Quebec,Nurse practitioners,201,190,10,1,0,85,55,2,59,0,8,1,192,0,200,1,0,0,0,163,38,0
2013,Ontario,Nurse practitioners,"2,049","1,706",300,43,0,785,549,42,673,0,159,26,"1,864",0,"1,988",29,32,0,0,"1,765",284,0
2013,Manitoba,Nurse practitioners,104,57,42,4,1,36,49,5,14,0,2,3,99,0,89,4,5,6,0,88,16,0
2013,Saskatchewan,Nurse practitioners,157,69,44,36,8,21,107,3,15,11,0,0,146,11,141,2,3,0,11,67,89,1
2013,Alberta,Nurse practitioners,331,223,85,23,0,171,55,5,49,51,22,5,254,50,242,7,9,0,73,312,19,0
2013,British Columbia,Nurse practitioners,206,104,47,55,0,87,81,2,20,16,35,3,168,0,186,6,13,1,0,185,21,0
2013,Yukon,Nurse practitioners,5,3,2,0,0,1,3,1,0,0,3,0,2,0,4,1,0,0,0,3,2,0
2013,Northwest Territories/Nunavut,Nurse practitioners,61,28,0,22,11,7,39,0,14,1,12,7,41,1,51,5,0,0,0,0,0,0
2014,Newfoundland and Labrador,Nurse practitioners,126,110,7,9,0,57,31,8,30,0,3,4,119,0,112,5,9,0,0,76,50,0
2014,Prince Edward Island,Nurse practitioners,12,10,0,2,0,1,9,0,2,0,1,1,10,0,11,0,1,0,0,9,3,0
2014,Nova Scotia,Nurse practitioners,142,121,15,6,0,63,62,2,15,0,11,1,130,0,133,3,6,0,0,92,48,2
2014,New Brunswick,Nurse practitioners,105,88,13,4,0,32,55,6,12,0,15,0,90,0,101,0,4,0,0,63,42,0
2014,Quebec,Nurse practitioners,250,238,10,2,0,91,68,10,81,0,12,2,234,2,246,3,1,0,0,205,45,0
2014,Ontario,Nurse practitioners,"2,199","1,821",334,44,0,874,610,40,675,0,86,38,"2,075",0,"2,149",22,28,0,0,"1,910",288,1
2014,Manitoba,Nurse practitioners,121,67,49,5,0,33,61,3,22,2,7,2,111,1,101,4,8,6,2,97,23,1
2014,Saskatchewan,Nurse practitioners,163,133,17,13,0,23,117,6,17,0,2,4,157,0,156,3,4,0,0,72,91,0
2014,Alberta,Nurse practitioners,358,278,56,17,7,201,69,10,66,12,31,6,309,12,287,1,4,2,64,332,18,8
2014,British Columbia,Nurse practitioners,245,125,49,69,2,94,86,5,28,32,40,5,200,0,225,4,16,0,0,211,33,1
2014,Yukon,Nurse practitioners,6,4,1,1,0,0,5,1,0,0,2,0,4,0,5,1,0,0,0,3,3,0
2014,Northwest Territories/Nunavut,Nurse practitioners,41,33,0,0,0,6,26,0,8,1,0,0,31,3,34,0,0,0,0,0,0,0
2015,Newfoundland and Labrador,Nurse practitioners,136,118,6,12,0,59,37,8,32,0,5,5,126,0,125,3,8,0,0,82,54,0
2015,Prince Edward Island,Nurse practitioners,14,13,0,1,0,0,12,0,2,0,1,0,13,0,13,0,1,0,0,8,6,0
2015,Nova Scotia,Nurse practitioners,143,123,14,6,0,62,61,2,18,0,5,0,138,0,138,1,4,0,0,90,51,2
2015,New Brunswick,Nurse practitioners,106,83,11,12,0,31,53,6,16,0,15,1,90,0,100,0,6,0,0,66,40,0
2015,Quebec,Nurse practitioners,303,288,13,2,0,130,135,27,10,1,13,2,288,0,297,3,3,0,0,241,61,1
