Year	Province_or_territory	Health_region	Nurse _practitioners	Registered_nurses	Registered_psychiatric nurses	Licensed_practical_nurses
2013	Newfoundland and Labrador	Eastern Health	61	3439	0	1165
2013	Newfoundland and Labrador	Central Health	27	679	0	449
2013	Newfoundland and Labrador	Western Health	10	770	0	428
2013	Newfoundland and Labrador	Labrador–Grenfell Health	13	361	0	166
2013	Prince Edward Island	Prince Edward Island	4	1364	0	591
2013	Prince Edward Island	Health PEI	4	1348	0	591
2013	Nova Scotia	Western Zone	25	1275	0	919
2013	Nova Scotia	Northern Zone	16	999	0	541
2013	Nova Scotia	Eastern Zone	18	1651	0	917
2013	Nova Scotia	Central Zone	65	3957	0	1299
2013	New Brunswick	Zone 1 (Moncton Area)	25	1980	0	562
2013	New Brunswick	Zone 2 (Saint John Area)	29	1715	0	702
2013	New Brunswick	Zone 3 (Fredericton Area)	20	1349	0	563
2013	New Brunswick	Zone 4 (Edmundston Area)	5	520	0	215
2013	New Brunswick	Zone 5 (Campbellton Area)	3	394	0	176
2013	New Brunswick	Zone 6 (Bathurst Area)	10	733	0	378
2013	New Brunswick	Zone 7 (Miramichi Area)	6	399	0	158
2013	Quebec	Bas-Saint-Laurent Region	5	1650	0	724
2013	Quebec	Saguenay–Lac-Saint-Jean Region	5	2348	0	992
2013	Quebec	Capitale-Nationale Region	26	7839	0	2457
2013	Quebec	Mauricie et Centre-du-Québec Region	18	3489	0	1440
2013	Quebec	Estrie Region	14	3340	0	1425
2013	Quebec	Montréal Region	56	19307	0	7361
2013	Quebec	Outaouais Region	11	1845	0	740
2013	Quebec	Abitibi-Témiscamingue Region	8	1143	0	417
2013	Quebec	Côte-Nord Region	0	783	0	234
2013	Quebec	Nord-du-Québec Region	1	137	0	45
2013	Quebec	Gaspésie–Îles-de-la-Madeleine Region	3	794	0	402
2013	Quebec	Chaudière-Appalaches Region	11	2398	0	1103
2013	Quebec	Laval Region	6	1885	0	826
2013	Quebec	Lanaudière Region	12	2256	0	889
2013	Quebec	Laurentides Region	10	2805	0	1516
2013	Quebec	Montérégie Region	14	6188	0	2820
2013	Quebec	Nunavik Region	0	169	0	7
2013	Quebec	Terres-Cries-de-la-Baie-James Region	0	144	0	0
2013	Ontario	Erie St. Clair LHIN	126	4003	0	2002
2013	Ontario	South West LHIN	176	7922	0	3049
2013	Ontario	Waterloo Wellington LHIN	124	3864	0	1959
2013	Ontario	Hamilton Niagara Haldimand Brant LHIN	204	9443	0	4097
2013	Ontario	Central West LHIN	38	2560	0	1105
2013	Ontario	Mississauga Halton LHIN	71	5532	0	1789
2013	Ontario	Toronto Central LHIN	370	14926	0	3283
2013	Ontario	Central LHIN	76	6551	0	2759
2013	Ontario	Central East LHIN	138	6976	0	3495
2013	Ontario	South East LHIN	107	3999	0	1918
2013	Ontario	Champlain LHIN	179	9656	0	3560
2013	Ontario	North Simcoe Muskoka LHIN	86	2849	0	1575
2013	Ontario	North East LHIN	189	4720	0	2557
2013	Ontario	North West LHIN	104	2268	0	1116
2013	Manitoba	Winnipeg Regional Health Authority	63	6027	285	1159
2013	Manitoba	Prairie Mountain Health	9	1178	231	818
2013	Manitoba	Interlake–Eastern Regional Health Authority	6	893	149	291
2013	Manitoba	Northern Health Region	3	322	15	163
2013	Manitoba	Southern Health — Santé Sud	8	1091	100	456
2013	Saskatchewan	Sun Country Health Region	3	311	45	114
2013	Saskatchewan	Five Hills Health Region	8	336	104	103
2013	Saskatchewan	Cypress Health Region	3	267	17	131
2013	Saskatchewan	Regina Qu'Appelle Health Region	27	2652	246	761
2013	Saskatchewan	Sunrise Health Region	7	454	66	182
2013	Saskatchewan	Saskatoon Health Region	33	3296	108	679
2013	Saskatchewan	Heartland Health Region	5	267	8	95
2013	Saskatchewan	Kelsey Trail Health Region	10	238	13	105
2013	Saskatchewan	Prince Albert Parkland Health Region	15	550	53	262
2013	Saskatchewan	Prairie North Health Region	13	547	96	286
2013	Saskatchewan	Mamawetan Churchill River Health Region	5	69	4	33
2013	Saskatchewan	Keewatin Yatthé Health Region	8	44	1	19
2013	Saskatchewan	Athabasca Health Authority	3	14	0	1
2013	Alberta	South Zone	3	1522	49	778
2013	Alberta	Calgary Zone	74	7761	213	2330
2013	Alberta	Central Zone	0	2161	341	1313
2013	Alberta	Edmonton Zone	153	9262	482	3132
2013	Alberta	North Zone	12	1477	53	994
2013	British Columbia	East Kootenay HSDA	2	396	9	230
2013	British Columbia	Kootenay–Boundary HSDA	1	510	16	188
2013	British Columbia	Okanagan HSDA	10	2232	131	1169
2013	British Columbia	Thompson/Cariboo HSDA	8	1357	86	552
2013	British Columbia	Fraser East HSDA	6	1602	170	581
2013	British Columbia	Fraser North HSDA	19	3376	447	1059
2013	British Columbia	Fraser South HSDA	17	3378	336	1359
2013	British Columbia	Richmond HSDA	2	735	47	210
2013	British Columbia	Vancouver HSDA	63	6168	339	1141
