Peer group,Province/territory,Region code,Region name,2013,2014,2015,2016,2017,2018,2019,2020,2021
C,Newfoundland and Labrador,1011,Eastern Health,"316,107","317,623","318,280","319,835","319,910","318,936","318,598","318,204","318,149"
E,Newfoundland and Labrador,1012,Central Health,"94,462","94,252","94,002","93,868","93,204","92,426","91,527","90,701","90,402"
E,Newfoundland and Labrador,1013,Western Health,"79,219","79,059","78,850","78,922","78,403","77,710","77,067","76,388","75,930"
E,Newfoundland and Labrador,1014,Labrador–Grenfell Health,"37,326","37,225","36,985","36,801","36,732","36,488","36,235","36,071","36,072"
C,Prince Edward Island,1100,Health PEI,"144,094","144,283","144,546","146,969","150,402","153,396","157,419","161,329","164,318"
C,Nova Scotia,1201,Western Zone,"198,612","197,594","197,043","197,620","198,256","198,613","198,891","199,456","200,719"
C,Nova Scotia,1202,Northern Zone,"150,983","149,857","148,779","148,711","148,454","148,362","148,535","149,084","150,132"
E,Nova Scotia,1203,Eastern Zone,"164,169","162,940","161,694","161,463","160,656","160,412","161,871","161,269","159,934"
B,Nova Scotia,1204,Central Zone,"426,670","428,154","429,009","434,996","442,742","451,019","460,946","472,080","481,270"
C,New Brunswick,1301,Zone 1 (Moncton Area),"209,287","211,085","211,814","214,317","216,337","218,750","222,877","226,961","231,476"
C,New Brunswick,1302,Zone 2 (Saint John Area),"174,961","174,076","173,530","174,085","174,559","175,339","176,351","177,398","178,110"
C,New Brunswick,1303,Zone 3 (Fredericton Area),"176,631","176,754","176,813","178,445","180,013","181,562","183,426","184,914","185,853"
C,New Brunswick,1304,Zone 4 (Edmundston Area),"48,823","48,750","48,631","48,669","48,505","48,224","48,163","48,015","47,909"
E,New Brunswick,1305,Zone 5 (Campbellton Area),"26,291","26,090","25,919","25,688","25,533","25,367","25,219","25,079","24,900"
E,New Brunswick,1306,Zone 6 (Bathurst Area),"77,879","77,717","77,703","77,778","77,505","77,040","76,928","76,748","76,696"
E,New Brunswick,1307,Zone 7 (Miramichi Area),"44,672","44,504","44,432","44,368","44,169","44,019","44,164","44,089","44,281"
C,Quebec,2401,Bas-Saint-Laurent Region,"200,126","199,155","198,127","197,802","197,550","197,291","197,530","198,063","199,097"
C,Quebec,2402,Saguenay–Lac-Saint-Jean Region,"277,898","277,623","277,222","277,076","277,174","277,388","278,032","278,946","279,949"
B,Quebec,2403,Capitale-Nationale Region,"720,786","725,382","729,094","733,847","738,620","744,399","751,442","757,031","761,029"
C,Quebec,2404,Mauricie et Centre-du-Québec Region,"505,059","506,809","507,836","510,387","513,971","516,951","520,711","525,757","532,860"
C,Quebec,2405,Estrie Region,"467,312","469,263","470,763","474,740","478,864","484,026","489,986","497,573","506,560"
G,Quebec,2406,Montréal Region,"1,939,692","1,949,425","1,950,025","1,959,014","1,986,067","2,028,244","2,066,038","2,072,645","2,025,928"
B,Quebec,2407,Outaouais Region,"378,540","380,448","381,942","385,385","388,330","392,200","397,007","401,280","404,265"
D,Quebec,2408,Abitibi-Témiscamingue Region,"147,755","147,734","147,305","147,293","147,609","147,607","147,634","147,960","148,242"
E,Quebec,2409,Côte-Nord Region,"95,729","95,113","93,940","92,713","91,824","91,160","90,717","90,606","90,543"
D,Quebec,2410,Nord-du-Québec Region,"14,246","14,143","14,108","13,942","13,851","13,836","13,648","13,480","13,418"
E,Quebec,2411,Gaspésie–Îles-de-la-Madeleine Region,"93,109","92,208","91,443","90,740","90,537","90,615","90,456","90,721","92,072"
D,Quebec,2412,Chaudière-Appalaches Region,"417,199","418,135","419,809","422,019","424,188","426,578","428,969","432,846","438,106"
B,Quebec,2413,Laval Region,"415,444","418,726","421,393","425,461","429,753","435,099","439,583","442,796","443,192"
D,Quebec,2414,Lanaudière Region,"487,441","491,007","493,750","497,298","502,991","508,958","515,727","524,452","535,230"
D,Quebec,2415,Laurentides Region,"578,032","583,081","588,192","594,981","603,209","611,917","620,648","631,873","647,179"
B,Quebec,2416,Montérégie Region,"1,342,914","1,351,979","1,359,898","1,372,474","1,386,290","1,403,748","1,423,109","1,439,562","1,453,570"
F,Quebec,2417,Nunavik Region,"12,641","12,840","13,164","13,385","13,549","13,817","14,111","14,351","14,576"
F,Quebec,2418,Terres-Cries-de-la-Baie-James Region,"16,957","17,112","17,261","17,393","17,686","17,904","18,135","18,358","18,679"
—,Ontario,3501,Erie St. Clair LHIN,"640,914","641,884","641,766","646,185","650,364","658,718","664,393","667,903","666,780"
—,Ontario,3502,South West LHIN,"959,660","964,411","969,935","982,581","999,827","1,019,903","1,035,759","1,051,298","1,062,646"
—,Ontario,3503,Waterloo Wellington LHIN,"761,488","768,232","775,826","791,634","807,062","825,181","842,902","859,630","868,902"
—,Ontario,3504,Hamilton Niagara Haldimand Brant LHIN,"1,412,122","1,419,878","1,429,205","1,444,324","1,463,839","1,485,386","1,500,021","1,517,825","1,529,162"
—,Ontario,3505,Central West LHIN,"895,935","913,139","930,552","957,213","975,008","996,218","1,048,081","1,075,919","1,088,751"
—,Ontario,3506,Mississauga Halton LHIN,"1,173,575","1,181,457","1,187,422","1,203,518","1,225,208","1,251,715","1,260,746","1,276,376","1,280,668"
—,Ontario,3507,Toronto Central LHIN,"1,247,292","1,258,407","1,262,422","1,271,879","1,291,396","1,316,322","1,336,763","1,349,225","1,341,754"
—,Ontario,3508,Central LHIN,"1,811,700","1,834,934","1,850,113","1,870,834","1,887,429","1,914,288","1,954,888","1,982,409","1,989,578"
