Year,Jurisdiction,Type of professional,Number of nurses
2020,Newfoundland and Labrador,Registered nurses,13
2020,Prince Edward Island,Registered nurses,2
2020,Nova Scotia,Registered nurses,128
2020,New Brunswick,Registered nurses,66
2020,Quebec,Registered nurses,"1,585"
2020,Ontario,Registered nurses,"2,203"
2020,Manitoba,Registered nurses,0
2020,Saskatchewan,Registered nurses,116
2020,Alberta,Registered nurses,73
2020,British Columbia,Registered nurses,0
2020,Yukon,Registered nurses,3
2020,Northwest Territories/Nunavut,Registered nurses,0
2020,Manitoba,Registered psychiatric nurses,6
2020,Saskatchewan,Registered psychiatric nurses,0
2020,Alberta,Registered psychiatric nurses,0
2020,British Columbia,Registered psychiatric nurses,0
2020,Yukon,Registered psychiatric nurses,0
2020,Newfoundland and Labrador,Licensed practical nurses,8
2020,Prince Edward Island,Licensed practical nurses,0
2020,Nova Scotia,Licensed practical nurses,18
2020,New Brunswick,Licensed practical nurses,7
2020,Quebec,Licensed practical nurses,304
2020,Ontario,Licensed practical nurses,"1,062"
2020,Manitoba,Licensed practical nurses,0
2020,Saskatchewan,Licensed practical nurses,30
2020,Alberta,Licensed practical nurses,1
2020,British Columbia,Licensed practical nurses,0
2020,Yukon,Licensed practical nurses,0
2020,Northwest Territories,Licensed practical nurses,0
2020,Nunavut,Licensed practical nurses,0
2021,Newfoundland and Labrador,Registered nurses,81
2021,Prince Edward Island,Registered nurses,46
2021,Nova Scotia,Registered nurses,219
2021,New Brunswick,Registered nurses,68
2021,Quebec,Registered nurses,"4,244"
2021,Ontario,Registered nurses,"2,152"
2021,Manitoba,Registered nurses,0
2021,Saskatchewan,Registered nurses,143
2021,Alberta,Registered nurses,22
2021,British Columbia,Registered nurses,"1,252"
2021,Yukon,Registered nurses,63
2021,Northwest Territories/Nunavut,Registered nurses,0
2021,Manitoba,Registered psychiatric nurses,7
2021,Saskatchewan,Registered psychiatric nurses,0
2021,Alberta,Registered psychiatric nurses,1
2021,British Columbia,Registered psychiatric nurses,18
2021,Yukon,Registered psychiatric nurses,0
2021,Newfoundland and Labrador,Licensed practical nurses,13
2021,Prince Edward Island,Licensed practical nurses,0
2021,Nova Scotia,Licensed practical nurses,1
2021,New Brunswick,Licensed practical nurses,0
2021,Quebec,Licensed practical nurses,0
2021,Ontario,Licensed practical nurses,"1,372"
2021,Manitoba,Licensed practical nurses,10
2021,Saskatchewan,Licensed practical nurses,4
2021,Alberta,Licensed practical nurses,0
2021,British Columbia,Licensed practical nurses,350
2021,Yukon ,Licensed practical nurses,0
2021,Northwest Territories,Licensed practical nurses,0
2021,Nunavut,Licensed practical nurses,0
2022,Newfoundland and Labrador,Registered nurses,0
2022,Prince Edward Island,Registered nurses,42
2022,Nova Scotia,Registered nurses,253
2022,New Brunswick,Registered nurses,170
2022,Quebec,Registered nurses,"5,196"
2022,Ontario,Registered nurses,0
2022,Manitoba,Registered nurses,0
2022,Saskatchewan,Registered nurses,69
2022,Alberta,Registered nurses,23
2022,British Columbia,Registered nurses,0
2022,Yukon,Registered nurses,0
2022,Northwest Territories/Nunavut,Registered nurses,0
2022,Manitoba,Registered psychiatric nurses,0
2022,Saskatchewan,Registered psychiatric nurses,0
2022,Alberta,Registered psychiatric nurses,0
2022,British Columbia,Registered psychiatric nurses,0
2022,Yukon,Registered psychiatric nurses,0
2022,Newfoundland and Labrador,Licensed practical nurses,9
2022,Prince Edward Island,Licensed practical nurses,0
2022,Nova Scotia,Licensed practical nurses,13
2022,New Brunswick,Licensed practical nurses,14
2022,Quebec,Licensed practical nurses,0
2022,Ontario,Licensed practical nurses,0
2022,Manitoba,Licensed practical nurses,16
2022,Saskatchewan,Licensed practical nurses,5
2022,Alberta,Licensed practical nurses,0
2022,British Columbia,Licensed practical nurses,0
2022,Yukon ,Licensed practical nurses,0
2022,Northwest Territories,Licensed practical nurses,0
2022,Nunavut,Licensed practical nurses,0
